id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,status_kawin,jumlah_penduduk,satuan,tahun
606,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CERAI HIDUP,7822,JIWA,2018
607,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CERAI MATI,21754,JIWA,2018
608,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KAWIN,232436,JIWA,2018
609,32,JAWA BARAT,3271,KOTA BOGOR,BELUM KAWIN,487244,JIWA,2018
610,32,JAWA BARAT,3271,KOTA BOGOR,CERAI HIDUP,16067,JIWA,2018
611,32,JAWA BARAT,3271,KOTA BOGOR,CERAI MATI,36035,JIWA,2018
612,32,JAWA BARAT,3271,KOTA BOGOR,KAWIN,489738,JIWA,2018
613,32,JAWA BARAT,3272,KOTA SUKABUMI,BELUM KAWIN,161296,JIWA,2018
614,32,JAWA BARAT,3272,KOTA SUKABUMI,CERAI HIDUP,6964,JIWA,2018
615,32,JAWA BARAT,3272,KOTA SUKABUMI,CERAI MATI,15498,JIWA,2018
616,32,JAWA BARAT,3272,KOTA SUKABUMI,KAWIN,161039,JIWA,2018
617,32,JAWA BARAT,3273,KOTA BANDUNG,BELUM KAWIN,1129553,JIWA,2018
618,32,JAWA BARAT,3273,KOTA BANDUNG,CERAI HIDUP,39122,JIWA,2018
619,32,JAWA BARAT,3273,KOTA BANDUNG,CERAI MATI,93928,JIWA,2018
620,32,JAWA BARAT,3273,KOTA BANDUNG,KAWIN,1189577,JIWA,2018
621,32,JAWA BARAT,3274,KOTA CIREBON,BELUM KAWIN,160925,JIWA,2018
622,32,JAWA BARAT,3274,KOTA CIREBON,CERAI HIDUP,7358,JIWA,2018
623,32,JAWA BARAT,3274,KOTA CIREBON,CERAI MATI,16581,JIWA,2018
624,32,JAWA BARAT,3274,KOTA CIREBON,KAWIN,152722,JIWA,2018
625,32,JAWA BARAT,3275,KOTA BEKASI,BELUM KAWIN,1198209,JIWA,2018
626,32,JAWA BARAT,3275,KOTA BEKASI,CERAI HIDUP,16828,JIWA,2018
627,32,JAWA BARAT,3275,KOTA BEKASI,CERAI MATI,58130,JIWA,2018
628,32,JAWA BARAT,3275,KOTA BEKASI,KAWIN,1163410,JIWA,2018
629,32,JAWA BARAT,3276,KOTA DEPOK,BELUM KAWIN,885028,JIWA,2018
630,32,JAWA BARAT,3276,KOTA DEPOK,CERAI HIDUP,16597,JIWA,2018
631,32,JAWA BARAT,3276,KOTA DEPOK,CERAI MATI,63428,JIWA,2018
632,32,JAWA BARAT,3276,KOTA DEPOK,KAWIN,879879,JIWA,2018
633,32,JAWA BARAT,3277,KOTA CIMAHI,BELUM KAWIN,254653,JIWA,2018
634,32,JAWA BARAT,3277,KOTA CIMAHI,CERAI HIDUP,9295,JIWA,2018
635,32,JAWA BARAT,3277,KOTA CIMAHI,CERAI MATI,19126,JIWA,2018
636,32,JAWA BARAT,3277,KOTA CIMAHI,KAWIN,265299,JIWA,2018
637,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BELUM KAWIN,324823,JIWA,2018
638,32,JAWA BARAT,3278,KOTA TASIKMALAYA,CERAI HIDUP,14048,JIWA,2018
639,32,JAWA BARAT,3278,KOTA TASIKMALAYA,CERAI MATI,30440,JIWA,2018
640,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KAWIN,344229,JIWA,2018
641,32,JAWA BARAT,3279,KOTA BANJAR,BELUM KAWIN,86225,JIWA,2018
642,32,JAWA BARAT,3279,KOTA BANJAR,CERAI HIDUP,6405,JIWA,2018
643,32,JAWA BARAT,3279,KOTA BANJAR,CERAI MATI,11643,JIWA,2018
644,32,JAWA BARAT,3279,KOTA BANJAR,KAWIN,99827,JIWA,2018
645,32,JAWA BARAT,3201,KABUPATEN BOGOR,BELUM KAWIN,2025007,JIWA,2019
646,32,JAWA BARAT,3201,KABUPATEN BOGOR,CERAI HIDUP,58908,JIWA,2019
647,32,JAWA BARAT,3201,KABUPATEN BOGOR,CERAI MATI,150322,JIWA,2019
648,32,JAWA BARAT,3201,KABUPATEN BOGOR,KAWIN,2481687,JIWA,2019
649,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BELUM KAWIN,1062791,JIWA,2019
650,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CERAI HIDUP,59599,JIWA,2019
651,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CERAI MATI,91490,JIWA,2019
652,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KAWIN,1358010,JIWA,2019
653,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BELUM KAWIN,957364,JIWA,2019
654,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CERAI HIDUP,44139,JIWA,2019
655,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CERAI MATI,81260,JIWA,2019
